username;name;gender;birth_date;account_creation;pay_method;account_status
MiTeixeira;Miguel Teixeira;M;03/09/1958;05/11/2017;cash;active
JorBranco31;Jorge Branco;M;05/10/1992;18/07/2020;credit_card;active
Margarida-AnMorais133;Margarida-Anita Morais;F;29/06/1989;31/12/2010;credit_card;active
HenrLopes;Henrique Lopes;M;02/07/1952;15/08/2014;credit_card;active
AMatias;Artur Matias;M;25/05/1963;14/06/2015;debit_card;active
LBranco;Lorena Branco;F;30/07/2001;10/05/2015;debit_card;inactive
MelisAlmeida;Melissa de Almeida;F;18/06/1983;23/09/2020;debit_card;active
AlicSoares;Alice Soares;F;16/03/1955;18/07/2013;credit_card;active
PilaFigueiredo;Pilar Figueiredo;F;24/08/1969;08/05/2020;debit_card;active
JoaquiBrito;Joaquim Brito;M;01/02/1995;19/08/2017;debit_card;active
SCarvalho;Samuel Carvalho;M;23/02/1959;24/03/2010;credit_card;active
VicMoura;Vicente Moura;M;19/08/1952;15/11/2021;cash;active
RafaelNogueira;Rafaela Nogueira;F;02/01/1976;15/11/2010;credit_card;active
MaMagalhães;Matias Magalhães;M;04/08/1993;16/09/2015;debit_card;active
DiniAndrade17;Dinis Andrade;M;26/08/1996;09/02/2010;debit_card;active
DPires;David Pires;M;17/04/1990;16/10/2021;cash;active
HenriquMaia109;Henrique Maia;M;29/08/1987;12/12/2016;credit_card;active
SMartins;Sérgio de Martins;M;12/02/1985;28/09/2014;cash;active
AAmaral47;Ariana Amaral;F;19/01/2003;11/02/2020;debit_card;active
ÉricPereira;Érica Pereira;F;15/08/2000;19/12/2011;credit_card;active
SalvaFaria;Salvador Faria;M;09/07/1992;23/09/2017;cash;active
MNeto;Madalena Neto;F;30/12/1976;19/07/2013;credit_card;active
IsaaReis;Isaac Reis;M;14/12/1950;11/09/2017;credit_card;active
LMarques;Luca Marques;M;23/05/1975;03/01/2020;debit_card;active
MarAnjos;Marco Anjos;M;06/09/1981;01/11/2018;debit_card;active
WNogueira;Wilson Nogueira;M;06/11/1952;19/02/2012;debit_card;active
ICosta;Isabel Costa;F;18/06/1978;30/05/2020;credit_card;active
ConAntunes;Constança da Antunes;F;14/12/2001;16/09/2021;credit_card;active
SebastFerreira-Lopes;Sebastião Ferreira-Lopes;M;26/10/1966;30/01/2021;debit_card;active
VascTeixeira;Vasco Teixeira;M;13/12/1974;08/04/2018;debit_card;active
BOliveira-Oliveira64;Benedita Oliveira-Oliveira;F;28/11/2002;16/12/2019;debit_card;active
NoaMorais;Noah Morais;M;13/05/1967;12/04/2012;debit_card;active
DPacheco;Diogo Pacheco;M;02/10/2000;10/07/2010;credit_card;active
YBrito109;Yara Brito;F;24/12/1967;29/08/2020;debit_card;inactive
YaOliveira75;Yasmin Oliveira;F;26/10/1992;26/07/2016;debit_card;active
PMota;Patrícia Mota;F;22/12/1951;05/10/2011;debit_card;active
IGonçalves;Iara do Gonçalves;F;07/09/1987;13/09/2021;debit_card;active
LetNeves-Simões;Letícia Neves-Simões;F;28/01/1992;11/03/2010;cash;active
MafaldRocha;Mafalda Rocha;F;24/04/1967;04/11/2014;cash;active
TomAnjos108;Tomé Anjos;M;23/06/1988;15/04/2018;credit_card;active
LeaAraújo;Leandro Araújo;M;19/11/1968;05/11/2016;debit_card;active
JoFonseca;João Fonseca;M;26/05/1977;06/02/2019;credit_card;active
LouVaz;Lourenço Vaz;M;27/08/1981;29/07/2018;debit_card;active
RMarques7;Rui Marques;M;19/05/1994;03/11/2010;debit_card;active
LúciPinheiro;Lúcia Pinheiro;F;11/12/1990;08/02/2017;credit_card;active
DanieGaspar14;Daniel Gaspar;M;16/12/1990;18/11/2014;cash;active
FrancAntunes;Francisco Antunes;M;31/05/1970;28/11/2016;debit_card;active
YasmBorges;Yasmin Borges;F;29/01/1998;04/01/2014;credit_card;inactive
MéNeves43;Mélanie Neves;F;27/06/1997;01/07/2020;credit_card;active
LuVieira;Luca Vieira;M;10/12/1963;15/03/2012;credit_card;active
Isabel-LeonMonteiro;Isabel-Leonor Monteiro;F;24/06/1998;25/08/2011;cash;active
